Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gain,CMP,Market_Profit,SME
2016-01-06,Narayana Hruda,613.0,0.01,0.01,0.13,250,291.0,336.7,16.4,653.0,Yes,No
2015-11-16,S H Kelkar,200.0,0.0,0.0,0.0,180,216.0,207.3,20.0,149.2,No,No
2015-11-02,Coffee Day,1150.0,4.39,0.54,0.9,328,313.0,270.15,-4.573170732,61.95,No,No
2015-09-21,Prabhat Dairy,300.0,0.88,1.42,0.34,115,113.0,116.35,-1.739130435,99.65,No,No
2015-09-16,Sadbhav Infra,425.0,3.04,1.66,1.69,103,111.0,106.15,7.766990291,12.66,No,No
2015-09-10,Pennar Eng,156.19,0.0,0.04,0.11,178,177.95,157.5,-0.028089888,63.85,No,No
2015-09-10,Shree Pushkar,70.0,0.97,2.09,1.54,65,60.05,63.0,-7.615384615,235.6,Yes,No
2015-09-09,Navkar Corp,600.0,6.47,0.9,1.62,155,152.0,166.4,-1.935483871,35.75,No,No
2015-08-26,Power Mech,273.22,27.53,133.22,3.42,640,600.0,585.75,-6.25,901.1,Yes,No
2015-08-11,Syngene Intl,550.0,51.47,90.24,4.78,250,295.0,155.2,18.0,565.0,Yes,No
2015-07-09,Manpasand Bever,400.0,1.99,0.38,1.16,320,291.0,163.43,-9.0625,6.14,No,No
2015-05-26,PNC Infratech,488.0,4.51,0.65,0.28,378,381.0,72.04,0.793650794,274.45,No,No
2015-05-14,UFO Moviez,600.0,4.49,1.17,1.02,625,600.0,598.8,-4.0,97.3,No,No
2015-05-06,MEP Infra,324.0,1.02,1.51,0.97,63,63.0,60.95,0.0,23.9,No,No
2015-04-30,VRL Logistics,473.88,58.22,250.86,7.92,205,288.0,293.3,40.48780488,473.55,Yes,No
2015-04-09,Inox Wind,700.0,35.68,35.38,2.15,325,400.0,438.0,23.07692308,119.1,No,No
2015-04-06,Imagicaaworld,467.0,1.17,0.49,1.37,180,167.95,191.25,-6.694444444,13.58,No,No
2015-03-19,Ortel Comm,240.0,1.01,0.09,0.39,181,181.0,171.95,0.0,1.72,No,No
2014-12-19,Monte Carlo,342.28,13.96,1.71,6.96,645,585.0,566.4,-9.302325581,529.0,No,No
2014-10-01,Shemaroo Ent,120.0,5.69,8.64,7.79,170,180.0,171.0,5.882352941,122.45,No,No
2014-09-23,Sharda Crop,352.0,32.06,251.35,5.85,156,254.1,231.45,62.88461538,559.6,Yes,No
2014-09-12,Snowman Logist,197.4,16.98,221.79,41.26,47,75.0,78.75,59.57446809,36.2,No,No
2014-05-09,Wonderla,181.25,16.71,159.04,7.56,125,164.75,157.6,31.8,223.1,Yes,No
2013-06-05,Just Dial,950.0,10.12,22.34,3.53,530,590.0,611.45,11.32075472,804.05,Yes,No
2013-04-01,Repco Home,270.38,3.39,0.35,0.51,172,159.95,160.85,-7.005813953,232.6,Yes,No
2012-12-28,INDUS TOWERS,4533.6,2.84,0.1,0.06,220,200.0,191.2,-9.090909091,253.0,Yes,Yes
2012-12-27,PC Jeweller,609.3,7.33,18.12,1.68,135,137.0,74.5,1.481481481,22.1,No,No
2012-12-26,CARE Ratings,539.98,45.8,110.96,6.18,750,940.0,923.95,25.33333333,526.0,No,No
2012-12-06,Tara Jewels,0.0,1.49,3.1,2.05,230,242.0,229.95,5.217391304,0.76,No,Yes
2012-07-18,VKS Projects,55.0,1.15,0.38,1.13,55,55.8,1.57,1.454545455,0.04,No,No
2012-05-30,Speciality Rest,181.96,4.68,2.19,0.55,150,153.0,160.65,2.0,146.75,No,No
2012-05-09,Tribhovandas,210.0,1.29,1.91,0.68,120,115.0,111.2,-4.166666667,70.7,No,No
2012-04-12,MT Educare,99.0,6.01,8.0,2.17,80,86.05,90.35,7.5625,9.88,No,No
2012-04-12,NBCC (India),127.2,7.07,1.7,3.4,106,100.0,6.47,-5.660377358,41.25,No,No
2012-03-28,Olympic Cards,25.0,0.0,3.43,1.36,30,29.95,28.5,-0.166666667,4.24,No,No
2011-11-02,Indo Thai Secu,33.6,0.0,0.02,3.31,74,76.0,23.0,2.702702703,304.0,Yes,No
2011-10-24,Vaswani Ind,49.0,0.16,11.29,6.82,49,33.45,17.75,-31.73469388,22.2,No,No
2011-10-20,Ujaas Energy,93.0,1.03,1.56,2.35,186,180.0,31.76,-3.225806452,4.75,No,No
2011-10-19,Taksheel Solut,82.5,0.24,4.7,6.18,150,157.4,58.15,4.933333333,3.85,No,No
2011-10-19,Flexituff Ventu,104.63,0.51,1.55,1.55,155,155.0,166.4,0.0,27.5,No,No
2011-10-17,Onelife Capital,36.85,1.02,0.93,2.32,110,115.0,145.9,4.545454545,14.3,No,No
2011-10-04,Setubandhan Inf,60.0,0.31,2.76,4.68,138,145.0,22.95,5.072463768,3.24,No,No
2011-09-26,PG Electroplast,120.65,0.98,1.84,1.64,210,200.0,411.65,-4.761904762,644.0,Yes,No
2011-09-16,SRS,227.5,0.74,5.0,0.29,58,55.0,16.83,-5.172413793,0.19,No,No
2011-09-08,TD Power System,227.0,6.52,0.32,0.36,256,251.6,274.8,-1.71875,385.0,Yes,No
2011-09-05,Brooks Labs,63.0,0.0,2.82,3.36,100,110.0,50.2,10.0,88.65,No,No
2011-08-26,Tree House,112.06,1.02,1.68,2.76,135,132.8,116.55,-1.62962963,10.34,No,No
2011-08-12,L&T Fi0ce,1245.0,1.93,6.18,9.61,52,53.85,46.46,3.557692308,71.25,Yes,No
2011-08-04,Inventure Grow,81.9,0.25,9.49,8.66,117,119.0,5.2,1.709401709,4.15,No,No
2011-07-28,Bharatiya Glob,55.1,0.0,1.94,5.06,82,84.0,30.95,2.43902439,5.2,No,No
2011-07-13,Kridhan Infra,34.75,0.03,1.37,4.18,108,115.0,13.29,6.481481481,5.86,No,No
2011-07-07,Rushil Decor,40.64,0.23,1.35,6.57,72,81.25,104.49,12.84722222,404.9,Yes,No
2011-07-07,Birla Pacific,65.18,1.04,0.17,1.82,10,10.1,25.35,1.0,0.28,No,No
2011-06-22,Timbor Home,23.25,0.65,3.22,14.22,63,72.0,91.2,14.28571429,2.21,No,No
2011-06-14,VMS Industries,25.75,0.0,1.11,3.41,40,43.95,28.5,9.875,15.0,No,No
2011-05-27,Dr Datson Labs,120.0,0.14,2.65,1.84,234,218.0,311.25,-6.837606838,6.29,No,No
2011-05-23,Sanghvi Forging,36.9,0.0,1.82,2.93,85,88.0,111.75,3.529411765,16.5,No,No
2011-05-13,Innoventive Ind,219.58,0.85,1.94,1.48,117,110.0,93.6,-5.982905983,4.2,No,No
2011-05-12,Servalakshmi,60.0,0.34,4.21,1.9,29,30.0,19.0,3.448275862,1.33,No,No
2011-05-10,Future Consumer,750.0,0.26,7.81,0.61,10,9.5,8.3,-5.0,6.98,No,No
2011-05-09,Paramount Print,45.83,0.33,3.28,9.31,35,35.0,26.65,0.0,0.82,No,No
2011-04-08,Shilpi Cable,55.88,1.04,6.39,5.74,69,78.35,23.8,13.55072464,1.1,No,No
2011-03-30,PTC India Fin,438.76,2.85,0.22,1.18,28,28.0,24.9,0.0,17.6,No,No
2011-03-24,Lovable Lingeri,93.28,21.87,99.87,20.84,205,261.5,249.2,27.56097561,143.3,No,No
2011-03-11,Sudar Ind,69.98,0.17,4.47,2.27,77,74.0,113.1,-3.896103896,1.02,No,No
2011-03-11,Fineotex Chem,30.32,0.0,0.22,4.38,70,80.0,14.09,14.28571429,167.6,Yes,No
2011-03-10,Acropetal Tech,170.0,1.12,2.0,1.21,90,130.0,98.45,44.44444444,1.67,No,No
2011-02-10,Omkar Special,79.38,0.82,5.27,9.9,98,95.0,46.2,-3.06122449,31.75,No,No
2011-01-20,C Mahendra Expo,165.0,1.02,3.92,4.82,110,111.0,55.43,0.909090909,1.79,No,No
2010-12-30,Punjab & Sind,480.0,49.8,22.91,8.38,120,146.1,127.05,21.75,16.35,No,No
2010-12-23,A2Z Infra Eng,675.0,0.7,4.25,0.33,400,390.0,328.9,-2.5,9.67,No,No
2010-12-20,Claris Life,300.0,1.31,2.03,1.6,228,224.4,205.85,-1.578947368,396.55,Yes,No
2010-12-15,MOIL,1260.0,0.0,0.0,0.0,375,551.0,233.25,46.93333333,176.2,No,No
2010-12-06,RPP Infra Proj,48.75,0.16,7.27,5.6,75,75.0,52.0,0.0,51.7,No,No
2010-11-16,Gravita India,45.0,6.04,182.52,37.34,125,218.75,42.08,75.0,371.4,Yes,No
2010-11-04,Coal India,15475.0,24.7,25.4,2.31,245,300.0,342.35,22.44897959,167.25,No,Yes
2010-10-27,Prestige Estate,1200.0,4.32,0.24,0.08,183,190.0,192.55,3.825136612,446.0,Yes,No
2010-10-27,BS Limited,197.36,0.52,3.16,1.04,248,251.0,18.93,1.209677419,0.33,No,No
2010-10-27,Gyscoal Alloys,54.67,1.54,33.44,8.0,71,76.6,8.16,7.887323944,4.51,No,No
2010-10-20,Oberoi Realty,1028.61,22.15,3.61,0.94,260,280.0,282.95,7.692307692,892.6,Yes,No
2010-10-18,Commercial Eng,172.41,3.68,0.34,0.38,127,122.8,112.25,-3.307086614,42.6,No,No
2010-10-14,Sea TV Network,50.2,1.66,40.94,7.45,100,120.0,106.0,20.0,5.25,No,No
2010-10-14,Ashoka Buildcon,225.0,25.52,13.91,3.46,324,333.55,73.33,2.947530864,96.7,No,No
2010-10-14,Bedmutha Ind,91.8,0.67,29.19,8.51,102,114.4,180.8,12.15686275,75.95,No,No
2010-10-13,Va Tech Wabag,472.6,36.13,100.98,8.55,1310,1655.0,341.88,26.33587786,318.5,No,No
